,,,,,,,,,,,,,,," 863,555,008.10 ",,,,,,,
Cost center,Cost center name,HFM cost center,BOI,PO No.,Reference,Project code,Project name,Flow dimensions,Voucher,Type,Period,Site,CC,Year,Budget Amount (THB),Project implemented Year,Plant,Selected,Classificated,Purpose,Budget/Not,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD01,3D Printing machine (replacement),,,,Jan-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD01,3D Printing machine (replacement),,,,Feb-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD01,3D Printing machine (replacement),,,,Mar-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD01,3D Printing machine (replacement),,,,Apr-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD01,3D Printing machine (replacement),,,,May-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD01,3D Printing machine (replacement),,,,Jun-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD01,3D Printing machine (replacement),,,,Jul-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD01,3D Printing machine (replacement),,,,Aug-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD01,3D Printing machine (replacement),,,,Sep-24,SHARE,D1204,2024,4500000,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD01,3D Printing machine (replacement),,,,Oct-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD01,3D Printing machine (replacement),,,,Nov-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD01,3D Printing machine (replacement),,,,Dec-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD02,Backup for critical machine (Ultrasonic + Electro polishing),,,,Jan-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD02,Backup for critical machine (Ultrasonic + Electro polishing),,,,Feb-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD02,Backup for critical machine (Ultrasonic + Electro polishing),,,,Mar-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD02,Backup for critical machine (Ultrasonic + Electro polishing),,,,Apr-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD02,Backup for critical machine (Ultrasonic + Electro polishing),,,,May-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD02,Backup for critical machine (Ultrasonic + Electro polishing),,,,Jun-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD02,Backup for critical machine (Ultrasonic + Electro polishing),,,,Jul-24,SHARE,D1204,2024,150000,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD02,Backup for critical machine (Ultrasonic + Electro polishing),,,,Aug-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD02,Backup for critical machine (Ultrasonic + Electro polishing),,,,Sep-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD02,Backup for critical machine (Ultrasonic + Electro polishing),,,,Oct-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD02,Backup for critical machine (Ultrasonic + Electro polishing),,,,Nov-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD02,Backup for critical machine (Ultrasonic + Electro polishing),,,,Dec-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD03,Enhance PM dimensioning accurately,,,,Jan-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD03,Enhance PM dimensioning accurately,,,,Feb-24,SHARE,D1204,2024,45000,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD03,Enhance PM dimensioning accurately,,,,Mar-24,SHARE,D1204,2024,15000,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD03,Enhance PM dimensioning accurately,,,,Apr-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD03,Enhance PM dimensioning accurately,,,,May-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD03,Enhance PM dimensioning accurately,,,,Jun-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD03,Enhance PM dimensioning accurately,,,,Jul-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD03,Enhance PM dimensioning accurately,,,,Aug-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD03,Enhance PM dimensioning accurately,,,,Sep-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD03,Enhance PM dimensioning accurately,,,,Oct-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD03,Enhance PM dimensioning accurately,,,,Nov-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD03,Enhance PM dimensioning accurately,,,,Dec-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_Ironman EP.1,IRONMAN Project_EP.1,,,,Jan-24,SHARE,D1204,2024," 12,000,000.00 ",2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_Ironman EP.1,IRONMAN Project_EP.1,,,,Feb-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_Ironman EP.1,IRONMAN Project_EP.1,,,,Mar-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
